Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E1,24/02/2026,19:45,Blackburn,Bristol City,M Donohue,2.32,3.2,3,2.38,3.1,3,2.38,3.25,3,2.38,3.2,3.1,2.37,3.3,2.95,,,,,,,,,,2.45,3.3,3.1,2.38,3.19,3.02,2.52,3.35,3.2,2.2,1.67,,,2.2,1.68,2.17,1.65,2.32,1.74,-0.25,2.05,1.8,,,2.05,1.83,2,1.78,2.14,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,Hull,Derby,A Herczeg,2.55,3.2,2.7,2.5,3.2,2.8,2.38,3.3,2.95,2.5,3.3,2.75,2.5,3.3,2.75,,,,,,,,,,2.6,3.35,2.95,2.51,3.24,2.78,2.68,3.4,2.96,2.1,1.73,,,2.1,1.82,2.02,1.75,2.12,1.87,0,1.88,1.98,,,1.88,2,1.81,1.96,1.89,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,Middlesbrough,Leicester,A Kitchen,1.46,4.33,6,1.5,4.2,6,1.54,4.25,5.6,1.5,4.33,6,1.53,4.4,5.75,,,,,,,,,,1.56,4.5,6,1.5,4.3,5.87,1.56,4.6,6.6,1.73,2.1,,,1.73,2.28,1.66,2.15,1.74,2.3,-1,1.83,2.03,,,1.88,2.03,1.82,1.94,1.9,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,Swansea,Preston,D Webb,1.68,3.75,4.33,1.73,3.5,4.6,1.81,3.55,4.3,1.75,3.6,4.75,1.78,3.6,4.5,,,,,,,,,,1.83,3.75,4.75,1.76,3.6,4.48,1.82,3.9,4.9,2.1,1.73,,,2.1,1.82,2.03,1.74,2.2,1.81,-0.75,2,1.85,,,2.04,1.85,1.99,1.78,2.09,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,Watford,Ipswich,B Toner,3.3,3.25,2.15,3.25,3.2,2.2,3.25,3.25,2.17,3.25,3.25,2.25,3.2,3.25,2.3,,,,,,,,,,3.3,3.33,2.3,3.24,3.24,2.22,3.45,3.4,2.36,2.2,1.67,,,2.22,1.76,2.12,1.68,2.24,1.78,0.25,1.88,1.98,,,1.91,1.98,1.86,1.88,1.95,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,West Brom,Charlton,S Allison,1.91,3.4,4,1.95,3.1,4.2,1.98,3.25,3.9,1.95,3.25,4.2,2,3.2,4.1,,,,,,,,,,2,3.4,4.2,1.96,3.24,4.06,2.06,3.45,4.3,2.5,1.53,,,2.5,1.6,2.43,1.53,2.56,1.62,-0.5,1.98,1.88,,,1.98,1.88,1.92,1.82,2.06,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,19:45,Wrexham,Portsmouth,T Reeves,2.01,3.4,3.5,2.05,3.3,3.5,2.02,3.35,3.75,2.05,3.5,3.5,2.05,3.4,3.6,,,,,,,,,,2.08,3.5,3.8,2.04,3.37,3.58,2.14,3.55,3.9,2,1.8,,,2.08,1.83,1.98,1.77,2.1,1.88,-0.25,1.8,2.05,,,1.83,2.07,1.75,2.03,1.83,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,24/02/2026,20:00,Southampton,QPR,O Langford,1.61,3.7,4.33,1.7,3.75,4.6,1.7,3.9,4.6,1.67,3.9,4.75,1.7,4,4.6,,,,,,,,,,1.72,4,4.75,1.68,3.87,4.58,1.77,4.1,5,1.73,2.1,,,1.73,2.2,1.69,2.11,1.78,2.24,-0.75,1.9,1.95,,,1.9,1.96,1.86,1.9,1.97,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,25/02/2026,19:45,Millwall,Birmingham,D Whitestone,2.4,3.3,2.82,2.5,3.1,2.88,2.38,3.3,2.9,2.45,3.3,2.88,2.5,3.3,2.8,,,,,,,,,,2.52,3.4,2.95,2.45,3.25,2.85,2.62,3.35,3.05,2.1,1.73,,,2.1,1.81,2.01,1.75,2.14,1.82,0,1.78,2.1,,,1.83,2.1,1.75,2.01,1.84,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,25/02/2026,19:45,Norwich,Sheffield Weds,R Ricardo,1.15,6.5,15,1.17,6.5,15,1.18,6.75,14,1.17,7.5,15,1.21,7,12.5,,,,,,,,,,1.21,7.5,16.5,1.18,6.78,14.17,1.21,7.8,20,1.5,2.63,,,1.5,2.8,1.46,2.61,1.51,2.78,-2,1.93,1.93,,,1.93,1.93,1.89,1.88,1.94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,25/02/2026,19:45,Sheffield United,Coventry,J Busby,2.4,3.4,2.7,2.4,3.4,2.75,2.35,3.6,2.75,2.45,3.6,2.7,2.4,3.6,2.75,,,,,,,,,,2.46,3.65,2.8,2.41,3.49,2.73,2.58,3.7,2.86,1.73,2.1,,,1.73,2.23,1.67,2.13,1.78,2.24,0,1.83,2.03,,,1.83,2.03,1.78,1.98,1.88,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,25/02/2026,20:00,Stoke,Oxford,J Linington,1.79,3.5,4.5,1.83,3.3,4.5,1.82,3.35,4.6,1.83,3.4,4.6,1.82,3.4,4.6,,,,,,,,,,1.84,3.6,4.75,1.81,3.41,4.56,1.92,3.6,4.7,2.2,1.67,,,2.25,1.67,2.22,1.62,2.34,1.7,-0.5,1.83,2.03,,,1.83,2.03,1.77,1.97,1.92,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,24/02/2026,19:45,Bradford,Rotherham,M Woods,1.68,3.4,5.25,1.7,3.5,5,1.7,3.65,4.9,1.73,3.5,5,1.68,3.6,5,,,,,,,,,,1.73,3.75,5.33,1.7,3.48,5.05,1.76,3.75,5.7,2.15,1.67,,,2.15,1.75,2.08,1.69,2.24,1.76,-0.75,1.98,1.88,,,1.98,1.88,1.89,1.83,2,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,24/02/2026,19:45,Burton,Stockport,S Parkinson,3.25,3.4,2.1,3.3,3.25,2.15,3.4,3.4,2.08,3.3,3.3,2.2,3.2,3.3,2.15,,,,,,,,,,3.4,3.5,2.2,3.26,3.34,2.14,3.4,3.55,2.24,2.05,1.75,,,2.1,1.84,1.99,1.75,2.14,1.86,0.25,1.95,1.9,,,1.95,1.9,1.9,1.81,2.02,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
